Wavelength	c:/Users/Public/Halo/Exports/OtherFormats/Hynek_Natron_Set4/30174_HaloDefaultProject_HaloStandard-New Location 8-S_30174_0013.txt
612	 4.23789210617542E-02 
613	 4.23443466424942E-02 
614	 4.23227176070213E-02 
615	 0.042300071567297 
616	 4.22673523426056E-02 
617	 4.22713495790958E-02 
618	 4.22453656792641E-02 
619	 4.22163642942905E-02 
620	 4.21838238835335E-02 
621	 4.21786569058895E-02 
622	 0.042188074439764 
623	 4.21866588294506E-02 
624	 4.21683415770531E-02 
625	 4.21935804188252E-02 
626	 0.042208943516016 
627	 4.22293022274971E-02 
628	 4.22293357551098E-02 
629	 4.22671549022198E-02 
630	 4.22721356153488E-02 
631	 4.22824993729591E-02 
632	 0.042317483574152 
633	 4.23429869115353E-02 
634	 4.23725210130215E-02 
635	 4.24253344535828E-02 
636	 4.24306504428387E-02 
637	 4.25005964934826E-02 
638	 4.25543859601021E-02 
639	 4.26180027425289E-02 
640	 0.042632207274437 
641	 4.26966920495033E-02 
642	 4.27633561193943E-02 
643	 4.27881553769112E-02 
644	 4.28156554698944E-02 
645	 4.28841561079025E-02 
646	 4.29503954946995E-02 
647	 4.29932549595833E-02 
648	 4.30531091988087E-02 
649	 4.31515164673328E-02 
650	 4.31909784674644E-02 
651	 4.32464517652988E-02 
652	 4.33159470558167E-02 
653	 4.34080027043819E-02 
654	 4.34696674346924E-02 
655	 0.043568205088377 
656	 4.36742939054966E-02 
657	 4.37734797596931E-02 
658	 4.38257716596127E-02 
659	 4.39005047082901E-02 
660	 4.39818575978279E-02 
661	 4.40556183457375E-02 
662	 4.41724993288517E-02 
663	 4.42375279963017E-02 
664	 4.42844964563847E-02 
665	 4.43827696144581E-02 
666	 4.44669760763645E-02 
667	 4.45506982505322E-02 
668	 4.46457043290138E-02 
669	 4.47312742471695E-02 
670	 4.48067560791969E-02 
671	 4.49070781469345E-02 
672	 4.50296439230442E-02 
673	 4.51419577002525E-02 
674	 4.52268794178963E-02 
675	 4.53671291470528E-02 
676	 4.55105639994144E-02 
677	 4.56432849168777E-02 
678	 4.57487441599369E-02 
679	 4.58489619195461E-02 
680	 4.59720976650715E-02 
681	 4.61164340376854E-02 
682	 4.62774969637394E-02 
683	 4.64008562266827E-02 
684	 4.65506017208099E-02 
685	 4.66635748744011E-02 
686	 4.67752404510975E-02 
687	 4.69406582415104E-02 
688	 4.71036806702614E-02 
689	 4.72067408263683E-02 
690	 4.73623387515545E-02 
691	 4.75486814975739E-02 
692	 4.77132052183151E-02 
693	 4.78746555745602E-02 
694	 4.80434410274029E-02 
695	 0.04821802303195 
696	 0.048383392393589 
697	 4.85500954091549E-02 
698	 0.048769649118185 
699	 4.89416047930717E-02 
700	 4.91583161056042E-02 
701	 4.93507273495197E-02 
702	 0.04951161891222 
